repo,month,health_file_commit_count
FFmpeg,2020-06,0
FFmpeg,2020-07,7
FFmpeg,2020-08,5
FFmpeg,2020-09,16
FFmpeg,2020-10,9
FFmpeg,2020-11,9
FFmpeg,2020-12,7
FFmpeg,2021-01,8
FFmpeg,2021-02,16
FFmpeg,2021-03,9
FFmpeg,2021-04,4
FFmpeg,2021-05,3
FFmpeg,2021-06,0
FFmpeg,2021-07,2
FFmpeg,2021-08,6
FFmpeg,2021-09,6
FFmpeg,2021-10,10
FFmpeg,2021-11,5
FFmpeg,2021-12,11
FFmpeg,2022-01,3
FFmpeg,2022-02,2
FFmpeg,2022-03,4
FFmpeg,2022-04,13
FFmpeg,2022-05,5
FFmpeg,2022-06,5
FFmpeg,2022-07,12
FFmpeg,2022-08,5
FFmpeg,2022-09,12
FFmpeg,2022-10,2
FFmpeg,2022-11,8
FFmpeg,2022-12,2
FFmpeg,2023-01,11
FFmpeg,2023-02,14
FFmpeg,2023-03,2
FFmpeg,2023-04,5
FFmpeg,2023-05,5
FFmpeg,2023-06,15
FFmpeg,2023-07,2
FFmpeg,2023-08,3
FFmpeg,2023-09,5
FFmpeg,2023-10,4
FFmpeg,2023-11,6
FFmpeg,2023-12,9
FFmpeg,2024-01,10
FFmpeg,2024-02,4
FFmpeg,2024-03,13
FFmpeg,2024-04,9
FFmpeg,2024-05,5
FFmpeg,2024-06,4
FFmpeg,2024-07,7
FFmpeg,2024-08,13
FFmpeg,2024-09,24
FFmpeg,2024-10,2
FFmpeg,2024-11,9
FFmpeg,2024-12,3
FFmpeg,2025-01,2
FFmpeg,2025-02,3
FFmpeg,2025-03,3
FFmpeg,2025-04,2
FFmpeg,2025-05,5
FFmpeg,2025-06,5
