repo,month,health_file_commit_count
react-native,2016-05,1
react-native,2016-06,5
react-native,2016-07,4
react-native,2016-08,2
react-native,2016-09,2
react-native,2016-10,2
react-native,2016-11,2
react-native,2016-12,1
react-native,2017-01,1
react-native,2017-02,4
react-native,2017-03,5
react-native,2017-04,2
react-native,2017-05,5
react-native,2017-06,3
react-native,2017-07,6
react-native,2017-08,2
react-native,2017-09,3
react-native,2017-10,7
react-native,2017-11,2
react-native,2017-12,6
react-native,2018-01,4
react-native,2018-02,2
react-native,2018-03,2
react-native,2018-04,1
react-native,2018-05,1
react-native,2018-06,3
react-native,2018-07,1
react-native,2018-08,2
react-native,2018-09,7
react-native,2018-10,0
react-native,2018-11,1
react-native,2018-12,3
react-native,2019-01,2
react-native,2019-02,1
react-native,2019-03,5
react-native,2019-04,1
react-native,2019-05,5
react-native,2019-06,1
react-native,2019-07,0
react-native,2019-08,2
react-native,2019-09,0
react-native,2019-10,2
react-native,2019-11,1
react-native,2019-12,0
react-native,2020-01,1
react-native,2020-02,3
react-native,2020-03,2
react-native,2020-04,1
react-native,2020-05,0
react-native,2020-06,0
react-native,2020-07,0
react-native,2020-08,0
react-native,2020-09,1
react-native,2020-10,0
react-native,2020-11,3
react-native,2020-12,0
react-native,2021-01,2
react-native,2021-02,0
react-native,2021-03,0
react-native,2021-04,0
react-native,2021-05,1
react-native,2021-06,1
react-native,2021-07,2
react-native,2021-08,1
react-native,2021-09,2
react-native,2021-10,1
react-native,2021-11,4
react-native,2021-12,2
react-native,2022-01,3
react-native,2022-02,1
react-native,2022-03,3
react-native,2022-04,1
react-native,2022-05,1
react-native,2022-06,3
react-native,2022-07,4
react-native,2022-08,3
react-native,2022-09,5
react-native,2022-10,3
react-native,2022-11,3
react-native,2022-12,1
react-native,2023-01,3
react-native,2023-02,3
react-native,2023-03,3
react-native,2023-04,6
react-native,2023-05,1
react-native,2023-06,9
react-native,2023-07,5
react-native,2023-08,2
react-native,2023-09,1
react-native,2023-10,4
react-native,2023-11,2
react-native,2023-12,4
react-native,2024-01,6
react-native,2024-02,5
react-native,2024-03,7
react-native,2024-04,15
react-native,2024-05,1
react-native,2024-06,3
react-native,2024-07,6
react-native,2024-08,5
react-native,2024-09,4
react-native,2024-10,10
react-native,2024-11,5
react-native,2024-12,8
react-native,2025-01,14
react-native,2025-02,9
react-native,2025-03,10
react-native,2025-04,6
react-native,2025-05,5
react-native,2025-06,7
react-native,2025-07,10
react-native,2025-08,4
react-native,2025-09,11
react-native,2025-10,4
react-native,2025-11,7
react-native,2025-12,3
react-native,2026-01,9
react-native,2026-02,4
react-native,2026-03,7
react-native,2026-04,7
react-native,2026-05,4
