repo,commit_sha,commit_date,health_file
ohmyzsh,afbbdd6099085fbc6a3d06cc44f90b566302bd43,2025-04-19,README.md
ohmyzsh,85c49414926ad86f76d7bad3635f948bb5f883cb,2025-01-23,README.md
ohmyzsh,a9e29fc12c856fd235b37c223feb8b3f05905b6f,2024-10-20,README.md
ohmyzsh,2a109d30afe4ab164a946c307abc3d2a444a42ad,2024-10-08,README.md
ohmyzsh,0a6f88ba0672f38d6925f8ffc8e7658e99f37489,2024-10-08,README.md
ohmyzsh,f30df6c855d1df077adc6b226219629312015ec6,2024-08-15,README.md
ohmyzsh,d525e80355597d752f941edfe0415b3ae881a774,2024-07-30,README.md
ohmyzsh,5e957cdc1653dbdc15d48ef316917d80778da4e8,2024-07-24,SECURITY.md
ohmyzsh,057f3ec67e65661d3c01b757ec5cad0a3718453e,2024-07-03,README.md
ohmyzsh,35f1d362c1c3169aaaf3600886382661af1fc647,2024-07-02,README.md
ohmyzsh,de2e3d9cd3840a1052132d502868aca263debc26,2024-06-04,README.md
ohmyzsh,ef402864830ba2e23720e3a6ee6f6b4f0e05d692,2024-04-09,README.md
ohmyzsh,ec1afe9dd683c36e6384db25fc1e95acbb0cbc7a,2024-04-03,README.md
ohmyzsh,1cc41576d4d2ffe2f63bb893a40ef864dc7f2c98,2024-03-12,README.md
ohmyzsh,f9993d0c687c0fb50490aa530adee57ea4c70c12,2023-12-01,README.md
ohmyzsh,1868c15ec6b13c2da20375780f1e8b8f61458be5,2023-10-23,README.md
ohmyzsh,1868c15ec6b13c2da20375780f1e8b8f61458be5,2023-10-23,SECURITY.md
ohmyzsh,6768906d07151140db901510b2c8b1ce2622f365,2023-10-11,README.md
ohmyzsh,b75b01a3092e59cd10ff01084d4a5e3ac0be3e3a,2023-10-08,README.md
ohmyzsh,ee857e3acf4beba9e3121bc8e776a048c46fa85f,2023-10-08,README.md
ohmyzsh,974055f638dac907cfb10281bce9cf998641febd,2023-10-08,README.md
ohmyzsh,bfeeda1491b5366aa5798a86cf6f3621536b171c,2023-05-21,README.md
ohmyzsh,aaf83d37aa1cc5ed2cb96dd29328502003a70848,2023-05-09,README.md
ohmyzsh,c5208867f1eb46f722e040b239150817abec87a6,2023-05-06,README.md
ohmyzsh,1ad167dfac325a9f92e0693c70d0ab3f7c4c574b,2023-04-03,README.md
ohmyzsh,8f6fbe238969ecb22fbdae75450a9f8705c9f979,2023-03-28,README.md
ohmyzsh,1c325de464117aa058d5f810b96ed54d65e5d0d5,2023-03-07,README.md
ohmyzsh,ea4854dba3ef72e18df2c7cc79db2806d92322eb,2023-02-02,README.md
ohmyzsh,50a526f209a182add8a47e362e1c9a3bfd7c5af4,2022-10-30,CONTRIBUTING.md
ohmyzsh,a7d910c3a61d8599f748a8ddae59ecdd9424022a,2022-10-19,CONTRIBUTING.md
ohmyzsh,0346cdf7f63bcddc704cc0551f260d31adb8fc9d,2022-08-02,.github/PULL_REQUEST_TEMPLATE.md
ohmyzsh,0346cdf7f63bcddc704cc0551f260d31adb8fc9d,2022-08-02,CONTRIBUTING.md
ohmyzsh,eb00b95d26e8f264af80f508d50ac32e50619027,2022-04-14,CONTRIBUTING.md
ohmyzsh,eb00b95d26e8f264af80f508d50ac32e50619027,2022-04-14,README.md
ohmyzsh,0f2715bb45ef025b48469817712a4cd3e23839b6,2022-03-14,README.md
ohmyzsh,2d3bae965a445ac0f6edeed0b277a15d09e6a261,2022-02-04,README.md
ohmyzsh,3fdad09d095c0d415e0bd9b5710f57fe30fc962a,2022-02-01,LICENSE.txt
ohmyzsh,8d02dabbb616a149d23ab5668b6db5428d5182ac,2021-12-18,README.md
ohmyzsh,29b344a7102a2fe427d5ea6bcde4044898be1112,2021-12-07,README.md
ohmyzsh,29b344a7102a2fe427d5ea6bcde4044898be1112,2021-12-07,SECURITY.md
ohmyzsh,b2f35a7b98455b2bb8c7c3b11db6aa587e1d28bf,2021-11-05,README.md
ohmyzsh,0520c2e30934a6e01b27988dca5bbbe3511d6868,2021-11-03,SECURITY.md
ohmyzsh,04c96e235ff522704a6f1482e7fd06a05467cbb7,2021-10-30,CONTRIBUTING.md
ohmyzsh,75fe22b40552305ef7636b7604ba99534d4f7808,2021-10-18,README.md
ohmyzsh,6a7285bc5bb69c255920950c45a911fdeca7f665,2021-04-25,README.md
ohmyzsh,74db9acdb9931996a54fd777c76393099d3dae1e,2021-04-06,CONTRIBUTING.md
ohmyzsh,7da330f1bd1690e821b438b6dd4cb54cc17f3b02,2021-04-06,CONTRIBUTING.md
ohmyzsh,d5e9e8d37bd2556f154ec136f9c0dc206a52e35a,2021-04-06,CONTRIBUTING.md
ohmyzsh,cd4918c2cdb6613cf77ea8f6f29e1930bd7f4bf5,2021-01-20,LICENSE.txt
ohmyzsh,1e25abacad6cdf380b7b1df9fc758290d969d99e,2020-10-13,.github/PULL_REQUEST_TEMPLATE.md
ohmyzsh,2657c87f0aa1fe7f66062bc3452ad68347be356f,2020-10-11,README.md
ohmyzsh,cacf5d0435cbd33d1b9460d118720c6a9b5f6420,2020-09-26,README.md
ohmyzsh,1be75bbc275a92cd47b0327bb1a688eb013934ca,2020-09-26,README.md
ohmyzsh,671745f4964df5e6c0282fde9020c3f945b68b43,2020-09-26,README.md
ohmyzsh,bc9d4b89bb3985a250e5a702a0f2d76a8632cd8a,2020-09-18,README.md
ohmyzsh,814e0b3c25316879b2f86e017701449cc2302ad4,2020-09-14,README.md
ohmyzsh,c785db621e8bdb9edb897cc7353fe87fb6e550b1,2020-08-23,README.md
ohmyzsh,93f8c0686cd28d3f93810c4824397f21530899c7,2020-08-20,README.md
ohmyzsh,7afaee858a4ae5a8d0d8c1f5fe150979842ebefc,2020-07-05,README.md
