repo,commit_sha,commit_date,health_file
homebrew-cask,2c597d30169aabb94e313dfd021f2bcd4cff910c,2025-03-02,CONTRIBUTING.md
homebrew-cask,79c0e83f9259fd5421162e668751647df9c39083,2024-06-20,.github/PULL_REQUEST_TEMPLATE.md
homebrew-cask,ee92443d7a197916eea3c17569f2462afc3c6c10,2024-05-27,.github/PULL_REQUEST_TEMPLATE.md
homebrew-cask,124dbb69c641f37af9be0427bd023101f59b9d08,2024-05-16,CONTRIBUTING.md
homebrew-cask,8258af64661aff9dee8fcb65bf6425887161ba6f,2024-05-16,CONTRIBUTING.md
homebrew-cask,709a56b0bf0d27d478849c4ae6297c2abb65ef31,2024-04-04,.github/PULL_REQUEST_TEMPLATE.md
homebrew-cask,2dfae253578a8ea7443acf8a78f92dcc9b275399,2024-02-26,.github/PULL_REQUEST_TEMPLATE.md
homebrew-cask,74cb775a7a5e28cca572179025c001c64110857c,2024-01-21,.github/PULL_REQUEST_TEMPLATE.md
homebrew-cask,a5515b130c2c6cfb1f35ab1e260d0ce32ef3c3bf,2023-12-05,.github/PULL_REQUEST_TEMPLATE.md
homebrew-cask,e1f76fe7a394dac52bfd60a8ed289560ae9c4992,2023-09-11,CONTRIBUTING.md
homebrew-cask,e1f76fe7a394dac52bfd60a8ed289560ae9c4992,2023-09-11,README.md
homebrew-cask,c80af0887c2d71d477c0af5660c9035830b3e1b9,2023-09-11,README.md
homebrew-cask,6e9ea5e83383035f1a401c6251e0dc6dc5dbdf84,2023-09-11,CONTRIBUTING.md
homebrew-cask,6e9ea5e83383035f1a401c6251e0dc6dc5dbdf84,2023-09-11,README.md
homebrew-cask,f0920357b77fea696f0043c938c07a3241fd4597,2023-07-27,CONTRIBUTING.md
homebrew-cask,bbb3d4586dd1f596cdad92d30b54759af168ab74,2023-02-24,.github/PULL_REQUEST_TEMPLATE.md
homebrew-cask,62f477df299fc4cdc47bff987af43fb78996579d,2023-01-24,README.md
homebrew-cask,b88d1f2c4b123dda5b10569660a389dbbb866aca,2022-04-28,.github/PULL_REQUEST_TEMPLATE.md
homebrew-cask,073de90dcb6f21ef324c6e3dd40d305c12d8368a,2022-01-16,README.md
homebrew-cask,412fb64a121fa6bc6a21746f8def6288098eaab7,2022-01-09,CONTRIBUTING.md
homebrew-cask,cb462347354005c7f764dea3fa5c0275c288c782,2021-12-23,README.md
homebrew-cask,d514a658b22256dd23db68e3740af750a6e239cf,2021-12-16,README.md
homebrew-cask,29422b499713b464e7985fbade58d23681cfaa08,2021-07-10,README.md
homebrew-cask,af888de0ee7d4309d3770bac29f9dce927a2dac3,2021-06-09,README.md
homebrew-cask,d62bac256e67d24e2d557285a78f3230ad62e7ae,2021-06-01,.github/PULL_REQUEST_TEMPLATE.md
homebrew-cask,a09cd0cbae908ceabcad5cc17509d7350e9a8ad9,2021-05-25,README.md
homebrew-cask,40a35f954d4d952cd7b166360567bf58647318e7,2021-05-14,.github/PULL_REQUEST_TEMPLATE.md
homebrew-cask,86909b2247292c5009f9a739b36cf3d54fc03cfd,2021-05-14,CONTRIBUTING.md
homebrew-cask,7be05ad740f6dffa949e1ed03503302cd620cc09,2021-05-04,CONTRIBUTING.md
homebrew-cask,7be05ad740f6dffa949e1ed03503302cd620cc09,2021-05-04,README.md
homebrew-cask,297a58aa0cf7b2b58ebbb7c57d577d3815058bce,2021-04-22,.github/PULL_REQUEST_TEMPLATE.md
homebrew-cask,0ea2748200abb9a13c2e68aef308de5308b631a7,2021-04-18,.github/PULL_REQUEST_TEMPLATE.md
homebrew-cask,f76cc7fd5a9689371ae92aa9efc532477b2475f0,2020-12-23,README.md
homebrew-cask,35ec6d9936b8ba7a016fd2715088dd736ab72d6a,2020-12-23,CONTRIBUTING.md
homebrew-cask,8b8a4b7210c514afff5c8b7e08577231860882a1,2020-12-12,.github/support.yml
homebrew-cask,972ff62f3ee968910f9526a19562061296bc35eb,2020-12-11,README.md
homebrew-cask,3c83991e34ba8242707c2f03156790f000f79117,2020-12-06,.github/support.yml
homebrew-cask,a8c2d378bf608f723e14092af556394c3f00cf8b,2020-11-30,.github/PULL_REQUEST_TEMPLATE.md
homebrew-cask,4d08eb72d3e52ac57acdbae570e02987b5bc1af1,2020-11-28,CONTRIBUTING.md
homebrew-cask,548b090067d6571accc66d161846690bac3dfeac,2020-11-27,README.md
homebrew-cask,81b37b58f096f18409d8d6c884ff943df51f6366,2020-11-23,.github/PULL_REQUEST_TEMPLATE.md
homebrew-cask,6e72e9ad6f67b21e1ab1a1c8728bd80045e794ef,2020-09-11,CONTRIBUTING.md
homebrew-cask,002b848b86e56be03e40869dfd0bdb44a83829b2,2020-07-05,.github/PULL_REQUEST_TEMPLATE.md
